Deutsch;Englisch
Freundschaft;friendship
Sicherheit;safety
Bitte;request
schockieren;shock
geheim;secret
indirekt;indirectly
sich zu jdm hingezogen fühlen;be attracted to sb
mit jdm zusammen sein;be seeing sb
sich in jn verlieben;fall in love with sb
mit jdm gehen;date sb
Schluss machen;break up
jn kennenlernen;get to know sb
verwirrt;confused
böse;cross
verängstigt;frightened
zuversichtlich;hopeful
optimistisch;optimistic
froh;pleased
wütend;furious
todunglücklich;heartbroken
entsetzt;terrified
begeistert;thrilled
